0,1,2,3,4
Gitelson & Merzlyak Index,"GM1,GM2",$\frac{750}{550}$,Chlorophyll,Gitelson and Merzlyak (1997)
Leaf Chlorophyll Index,"LCI,LIC1,LIC2,LIC3",$\frac{R_{850} – R_{710}}{R_{850} + R_{680}}$,Chlorophyll,Datt (1999)
M Locherer Chlorophyll,MLO,$\frac{R_{531}}{R_{645}}$,Chlorophyll,unpublished
Modified Chlorophyll Absorption in Reflectance Index,"MCARI,MCARI1,MCARI2",$\cdot (R_{700} – R_{550})] \cdot (\frac{R_{700}}{R_{670}})$,Chlorophyll,Daughtry et al. (2000)
Normalized Phaeophytinization Index,NPQI,$\frac{R_{415} – R_{435}}{R_{415} + R_{435}}$,Chlorophyll,Barnes (1992)
Photochemical Reflectance Index,PRI,$\frac{R_{528} – R_{567}}{R_{528} + R_{567}}$,Chlorophyll,Gamon et al. (1992)
Red Edge Inflection Point,REIP1,$\frac{740}{700}) \cdot \frac{(R_{i}-R_{780})} {({R_{740}+R_{701})}}; R_{i} = \frac{R_{780}}{R_{670}}$,Chlorophyll,Guyot et al. (1988)
Red Edge Point,REP,$\cdot \frac{R_{rededge} – R_{700}}{R_{740} – R_{700}}; R_{rededge} = \frac{R_{670}+R_{780}} {2}$,Chlorophyll,Dawson and Curran (1998)
Transformed Chlorophyll Absorption in Reflectance Index,TCARI,$\cdot [(R_{700} – R_{670}) – 0.2 \cdot (R_{700} – R_{550})] \cdot (\frac{R_{700}}{R_{670}})$,Chlorophyll,Haboudane et al. (2002)
Triangular Vegetation Index,TVI,$\cdot [120 \cdot (R_{750} – R_{550}) – 200 \cdot (R_{670} – R_{550})]$,Chlorophyll,Broge and Leblanc (2000)
Vogelmann Index,"VOG1,VOG2,VOG3",$\frac{R_{740} }{R_{720}}$,Chlorophyll,Vogelmann (1993)
Zarco-Tejada & Miller,ZTM,$\frac{R_{750}}{R_{710}}$,Chlorophyll,Zarco-Tejada et al. (2001)
Pigment Specific Simple Ratio for Chl a,PSSRa,$\frac{R_{800}}{R_{675}}$,Chlorophyll a,Blackburn (1998)
Pigment Specific Simple Ratio for Chl b,PSSRb,$\frac{R_{800}}{R_{650}}$,Chlorophyll b,Blackburn (1998)
Shortwave Infrared Green Vegetation Index,SWIRVI,$\cdot[(R_{2210} + R_{2090}) + 26.27 \cdot (R_{2208} – R_{2090}) – 0.57$,Dry Matter,Lobell et al. (2001)
Normalized Difference Lignin Index,NDLI,$\frac{log ( R_{1094} )^-1 -log ( R_{1205} )^-1}{log ( R_{1094} )^-1 +log ( R_{1205} )^-1}$,Dry Matter / Lignin,Serrano et al. (2002)
Normalized Difference Nitrogen Index,NDNI,$\frac{log ( R_{1510} )^-1 -log ( R_{1680} )^-1}{log ( R_{1510} )^-1 +log ( R_{1680} )^-1}$,Dry Matter / Nitrogen,Serrano et al. (2002)
Normalized Pigment Chlorophyll Index,NPCI,$\frac{R_{680} – R_{430}}{R_{680} + R_{430}}$,Dry Matter / Pigment,Penuelas et al. (1994)
Pigment Index,"BGI,BRI",$\frac{R_{450}}{R_{550}}$,Dry Matter / Pigment,Zarco-Tejada et al. (2005)
Red-Green Pigment Index,RGI,$\frac{R_{690}}{R_{550}}$,Dry Matter / Pigment,Zarco-Tejada et al. (2005)
Simple Ratio Pigment Index,SRPI,$\frac{R_{430}}{R_{680}}$,Dry Matter / Pigment,Penuelas et al. (1995)
Desease Water Stress Index,"DSWI,DWSI5",$\frac{R_{802} – R_{547}}{R_{1657}+R_{682}}$,Water Content,Galvão et al. (2005)
Leaf Water Vegetation Index,"LWVI1,LWVI2",$\frac{R_{1094} – R_{983}}{R_{1094} + R_{983}}$,Water Content,Galvão et al. (2005)
Moisture Stress Index,MSI,$\frac{R_{1600}}{R_{820}}$,Water Content,Hunt et al. (1989)
Normalized Difference Water Index,NDWI,$\frac{R_{860} – R_{1240}}{R_{860} + R_{1240}}$,Water Content,Gao (1996)
Plant Water Index,PWI,$\frac{R_{970}}{R_{900}}$,Water Content,Penuelas et al. (1997)
Simple Ratio Water Index,SRWI,$\frac{R_{858}}{R_{1240}}$,Water Content,Zarco-Tejada et al. (2003)
